,0
NearestNeighbours,0.6479289940828402
SSIMNearestNeighbours,0.6062176165803109
VarGrad,0.44
Rise,0.4
GradCAMPP,0.36666666666666664
HsicAttributionMethod,0.36363636363636365
SquareGrad,0.3595505617977528
SobolAttributionMethod,0.32967032967032966
SmoothGrad,0.3235294117647059
InSampleCFs,0.3136729222520107
KernelShap,0.22490706319702602
Lime,0.20930232558139536
GuidedBackprop,0.18518518518518517
GradientInput,0.13253012048192772
IntegratedGradients,0.10891089108910891
Saliency,0.0851063829787234
Occlusion,0.06451612903225806
